Halb,Engine,Model,Vehicle_Type,Forecast_Model,Month,Actual_Demand,Forecast_Demand,Difference
80600311,E694_BS4_DSL,20.15 cowl,Bus,SARIMA,2025-01-01,0,0.0,0.0
80600311,E694_BS4_DSL,20.15 cowl,Bus,SARIMA,2025-02-01,0,0.0,0.0
80600311,E694_BS4_DSL,20.15 cowl,Bus,SARIMA,2025-03-01,0,0.0,0.0
80600311,E694_BS4_DSL,20.15-LPO,Bus,Moving Average,2025-01-01,0,0.0,0.0
80600311,E694_BS4_DSL,20.15-LPO,Bus,Moving Average,2025-02-01,0,0.0,0.0
80600311,E694_BS4_DSL,20.15-LPO,Bus,Moving Average,2025-03-01,0,0.0,0.0
80600311,E694_BS4_DSL,20.15-LPO,Bus,SES,2025-01-01,0,5.9604638558141965e-08,-5.9604638558141965e-08
80600311,E694_BS4_DSL,20.15-LPO,Bus,SES,2025-02-01,0,5.9604638558141965e-08,-5.9604638558141965e-08
80600311,E694_BS4_DSL,20.15-LPO,Bus,SES,2025-03-01,0,5.9604638558141965e-08,-5.9604638558141965e-08
80600311,E694_BS4_DSL,20.15-LPO,Bus,Holt,2025-01-01,0,5.960463869948561e-08,-5.960463869948561e-08
80600311,E694_BS4_DSL,20.15-LPO,Bus,Holt,2025-02-01,0,5.960463871715357e-08,-5.960463871715357e-08
80600311,E694_BS4_DSL,20.15-LPO,Bus,Holt,2025-03-01,0,5.9604638734821523e-08,-5.9604638734821523e-08
80600311,E694_BS4_DSL,20.15-LPO,Bus,Holt Winters,2025-01-01,0,0.36190465228182056,-0.36190465228182056
80600311,E694_BS4_DSL,20.15-LPO,Bus,Holt Winters,2025-02-01,0,0.37748900419189874,-0.37748900419189874
80600311,E694_BS4_DSL,20.15-LPO,Bus,Holt Winters,2025-03-01,0,0.39307335610197697,-0.39307335610197697
80600311,E694_BS4_DSL,20.15-LPO,Bus,ARIMA,2025-01-01,0,0.1914769934802465,-0.1914769934802465
80600311,E694_BS4_DSL,20.15-LPO,Bus,ARIMA,2025-02-01,0,0.190565077814743,-0.190565077814743
80600311,E694_BS4_DSL,20.15-LPO,Bus,ARIMA,2025-03-01,0,0.19056942084398049,-0.19056942084398049
80600311,E694_BS4_DSL,20.15-LPO,Bus,SARIMA,2025-01-01,0,-9.53380978160691e-36,9.53380978160691e-36
80600311,E694_BS4_DSL,20.15-LPO,Bus,SARIMA,2025-02-01,0,5.256522380441974e-31,-5.256522380441974e-31
80600311,E694_BS4_DSL,20.15-LPO,Bus,SARIMA,2025-03-01,0,2.07875373889649e-21,-2.07875373889649e-21
80601107,MDE5_EU3_DSL,Pro 6016-PREMIUM,HD,Moving Average,2025-01-01,0,0.0,0.0
80601107,MDE5_EU3_DSL,Pro 6016-PREMIUM,HD,Moving Average,2025-02-01,0,0.0,0.0
80601107,MDE5_EU3_DSL,Pro 6016-PREMIUM,HD,Moving Average,2025-03-01,0,0.0,0.0
80601107,MDE5_EU3_DSL,Pro 6016-PREMIUM,HD,SES,2025-01-01,0,2.980231572635786e-08,-2.980231572635786e-08
80601107,MDE5_EU3_DSL,Pro 6016-PREMIUM,HD,SES,2025-02-01,0,2.980231572635786e-08,-2.980231572635786e-08
80601107,MDE5_EU3_DSL,Pro 6016-PREMIUM,HD,SES,2025-03-01,0,2.980231572635786e-08,-2.980231572635786e-08
80601107,MDE5_EU3_DSL,Pro 6016-PREMIUM,HD,Holt,2025-01-01,0,2.9802315867688884e-08,-2.9802315867688884e-08
80601107,MDE5_EU3_DSL,Pro 6016-PREMIUM,HD,Holt,2025-02-01,0,2.9802315876522074e-08,-2.9802315876522074e-08
80601107,MDE5_EU3_DSL,Pro 6016-PREMIUM,HD,Holt,2025-03-01,0,2.980231588535526e-08,-2.980231588535526e-08
80601107,MDE5_EU3_DSL,Pro 6016-PREMIUM,HD,Holt Winters,2025-01-01,0,-0.04761935492403123,0.04761935492403123
80601107,MDE5_EU3_DSL,Pro 6016-PREMIUM,HD,Holt Winters,2025-02-01,0,-0.06060638893939012,0.06060638893939012
80601107,MDE5_EU3_DSL,Pro 6016-PREMIUM,HD,Holt Winters,2025-03-01,0,-0.073593422954749,0.073593422954749
80601107,MDE5_EU3_DSL,Pro 6016-PREMIUM,HD,ARIMA,2025-01-01,0,0.0956924612155403,-0.0956924612155403
80601107,MDE5_EU3_DSL,Pro 6016-PREMIUM,HD,ARIMA,2025-02-01,0,0.09522302173413794,-0.09522302173413794
80601107,MDE5_EU3_DSL,Pro 6016-PREMIUM,HD,ARIMA,2025-03-01,0,0.09522532466818207,-0.09522532466818207
80601107,MDE5_EU3_DSL,Pro 6016-PREMIUM,HD,SARIMA,2025-01-01,0,-0.2300605721763893,0.2300605721763893
80601107,MDE5_EU3_DSL,Pro 6016-PREMIUM,HD,SARIMA,2025-02-01,0,-0.2234424563873927,0.2234424563873927
80601107,MDE5_EU3_DSL,Pro 6016-PREMIUM,HD,SARIMA,2025-03-01,0,-0.22357975536410002,0.22357975536410002
80601231,E683_BS2_DSL,20.15-LPO,Bus,Moving Average,2025-01-01,0,0.0,0.0
80601231,E683_BS2_DSL,20.15-LPO,Bus,Moving Average,2025-02-01,0,0.0,0.0
80601231,E683_BS2_DSL,20.15-LPO,Bus,Moving Average,2025-03-01,0,0.0,0.0
80601231,E683_BS2_DSL,20.15-LPO,Bus,SES,2025-01-01,0,1.4567071740625404e-156,-1.4567071740625404e-156
